,batter_name,batter_batting_average,batter_walk_rate,batter_strikeout_rate,batter_contact_rate,batter_slugging_percent,batter_on_base_percentage,batter_whiff_rate,batter_singles_average,batter_doubles_triple_average,batter_home_run_average
943638,Luis Rengifo,0.3007246376811594,0.0453172205438066,0.120845921450151,0.7794612794612794,0.4166666666666667,0.3367697594501718,0.2205387205387205,0.2318840579710145,0.0471014492753623,0.0217391304347826
937468,Nick Gordon,0.2274678111587982,0.0333333333333333,0.19,0.6975425330812854,0.3733905579399141,0.2592592592592592,0.3024574669187145,0.1459227467811159,0.0515021459227467,0.0300429184549356
926700,Eddie Rosario,0.1866197183098591,0.0405405405405405,0.1918918918918919,0.7197231833910035,0.3450704225352112,0.2274247491638795,0.2802768166089965,0.1056338028169014,0.0422535211267605,0.0387323943661971
918016,Harold Ramírez,0.2580645161290322,0.0149812734082397,0.1722846441947565,0.6944444444444444,0.3179723502304147,0.2714932126696832,0.3055555555555556,0.2211981566820276,0.0276497695852534,0.0092165898617511
917120,Ryan Bliss,0.2407407407407407,0.0657894736842105,0.2236842105263158,0.7207207207207207,0.3888888888888889,0.3050847457627119,0.2792792792792792,0.1481481481481481,0.074074074074074,0.0185185185185185
910397,Brandon Crawford,0.2,0.0919540229885057,0.2183908045977011,0.6713286713286714,0.3333333333333333,0.2941176470588235,0.3286713286713286,0.1,0.0833333333333333,0.0166666666666666
910047,Kris Bryant,0.2204724409448819,0.0652173913043478,0.2445652173913043,0.6339622641509434,0.3070866141732283,0.2877697841726618,0.3660377358490566,0.1653543307086614,0.0393700787401574,0.0157480314960629
901886,Alek Thomas,0.1976744186046511,0.0636363636363636,0.1545454545454545,0.7368421052631579,0.3720930232558139,0.2580645161290322,0.2631578947368421,0.1046511627906976,0.0581395348837209,0.0348837209302325
904856,Curtis Mead,0.2280701754385964,0.0405405405405405,0.1891891891891892,0.7532467532467533,0.2807017543859649,0.2666666666666666,0.2467532467532467,0.1929824561403508,0.0263157894736842,0.0087719298245614
895352,Willie Calhoun,0.2409090909090909,0.0772058823529411,0.1139705882352941,0.8638613861386139,0.3818181818181818,0.3070539419087137,0.1361386138613861,0.1454545454545454,0.0727272727272727,0.0227272727272727
891286,Akil Baddoo,0.1269841269841269,0.0736842105263157,0.2631578947368421,0.6461538461538462,0.2698412698412698,0.2142857142857142,0.3538461538461538,0.0634920634920634,0.0317460317460317,0.0317460317460317
888033,Bligh Madris,0.3,0.073170731707317,0.1951219512195122,0.7083333333333334,0.4,0.3636363636363636,0.2916666666666667,0.2333333333333333,0.05,0.0166666666666666
