pitcher_name,pitcher_walk_rate,pitcher_era,pitcher_strikeout_percentage,pitcher_batting_average_against,pitcher_home_run_average,pitcher_total_batters_faced
Touki Toussaint,0.1523809523809524,6.646971935007385,0.219047619047619,0.2666666666666666,0.019047619047619,105.0
Bryan Hudson,0.0666666666666666,1.7818841775284606,0.2666666666666666,0.1244444444444444,0.0311111111111111,225.0
Ben Joyce,0.0992907801418439,2.1415823914336705,0.2198581560283688,0.1843971631205673,0.0070921985815602,141.0
Max Meyer,0.08,5.4354178842782,0.1822222222222222,0.2355555555555555,0.0533333333333333,225.0
Jeffrey Springs,0.075,3.668025194516488,0.275,0.25,0.0333333333333333,120.0
Tyler Phillips,0.0460526315789473,5.50152820227841,0.1776315789473684,0.2434210526315789,0.0460526315789473,152.0
Kyle Harrison,0.0782442748091603,4.217709446682562,0.2194656488549618,0.2251908396946564,0.032442748091603,524.0
Calvin Faucher,0.1082251082251082,3.250332636380916,0.2683982683982684,0.2077922077922078,0.0,231.0
Domingo Germán,0.1481481481481481,6.115515288788222,0.1851851851851851,0.1975308641975308,0.0246913580246913,81.0
Grant Anderson,0.0833333333333333,7.7790304396843295,0.2416666666666666,0.25,0.0833333333333333,120.0
Ron Marinaccio,0.0978260869565217,3.225806451612903,0.2608695652173913,0.1739130434782608,0.0434782608695652,92.0
Scott Barlow,0.1324786324786324,4.228528472091712,0.282051282051282,0.1837606837606837,0.0213675213675213,234.0
Sam Moll,0.0855263157894736,2.6343799893560407,0.25,0.1710526315789473,0.0131578947368421,152.0
Ty Blach,0.0566037735849056,6.652868125369603,0.110062893081761,0.3050314465408805,0.0440251572327044,318.0
Osvaldo Bido,0.099601593625498,3.523079432392758,0.2390438247011952,0.1673306772908366,0.0119521912350597,251.0
Paul Sewald,0.0628930817610062,4.192546583850931,0.2578616352201258,0.2075471698113207,0.0377358490566037,159.0
Hans Crouse,0.1485148514851485,3.0037546933667083,0.3267326732673267,0.1386138613861386,0.0198019801980198,101.0
Luis Castillo,0.0642458100558659,3.604178757980266,0.2402234636871508,0.2136871508379888,0.0349162011173184,716.0
Nick Nastrini,0.2,7.797029702970297,0.15,0.19375,0.04375,160.0
Brennan Bernardino,0.0950226244343891,3.741833300336568,0.253393665158371,0.2171945701357466,0.0271493212669683,221.0
Bradley Blalock,0.12,5.403377110694184,0.128,0.24,0.024,125.0
Chase Anderson,0.0836820083682008,4.98303268440793,0.1673640167364016,0.2133891213389121,0.0460251046025104,239.0
Slade Cecconi,0.0479041916167664,6.605504587155964,0.1916167664670658,0.2664670658682634,0.0479041916167664,334.0
Tanner Gordon,0.0422535211267605,7.55082284607938,0.176056338028169,0.3028169014084507,0.056338028169014,142.0
Elvis Peguero,0.1116071428571428,3.0649038461538463,0.2008928571428571,0.21875,0.0178571428571428,224.0
José Ureña,0.0820734341252699,3.692307692307693,0.1468682505399568,0.2224622030237581,0.0280777537796976,463.0
Cam Booser,0.0824175824175824,2.981542830099385,0.2307692307692307,0.2197802197802197,0.0219780219780219,182.0
Zack Kelly,0.1050420168067226,3.499469777306469,0.2563025210084033,0.180672268907563,0.042016806722689,238.0
Chris Stratton,0.1264367816091954,5.407725321888412,0.1762452107279693,0.2030651340996168,0.0191570881226053,261.0
Dylan Floro,0.0545454545454545,3.244704821991888,0.1709090909090909,0.2181818181818181,0.0109090909090909,275.0
Max Scherzer,0.0496894409937888,3.891149542217701,0.2360248447204969,0.217391304347826,0.0372670807453416,161.0
Jordan Hicks,0.0960334029227557,3.905817174515236,0.1983298538622129,0.2254697286012526,0.0250521920668058,479.0
James McArthur,0.0515873015873015,4.899894625922023,0.1944444444444444,0.2698412698412698,0.0317460317460317,252.0
Tayler Scott,0.1228070175438596,2.100043750911477,0.2526315789473684,0.1543859649122807,0.0210526315789473,285.0
Kyle Nicolas,0.1224489795918367,3.7919032789888254,0.2244897959183673,0.2081632653061224,0.0163265306122449,245.0
Shelby Miller,0.0516431924882629,4.673590504451038,0.2300469483568075,0.1877934272300469,0.0422535211267605,213.0
Burch Smith,0.0502092050209205,5.143805309734513,0.1799163179916318,0.2677824267782426,0.0251046025104602,239.0
Craig Kimbrel,0.1312217194570135,4.357931435212086,0.3212669683257919,0.167420814479638,0.0316742081447963,221.0
Jordan Wicks,0.0952380952380952,5.270863836017569,0.201058201058201,0.2539682539682539,0.0317460317460317,189.0
Jesse Chavez,0.0727969348659003,3.068181818181818,0.2030651340996168,0.2183908045977011,0.0383141762452107,261.0
Lance Lynn,0.0865979381443299,3.962264150943396,0.2144329896907216,0.2247422680412371,0.0309278350515463,485.0
Bailey Horn,0.108433734939759,6.020066889632107,0.1566265060240964,0.2409638554216867,0.0481927710843373,83.0
Michael Grove,0.0773195876288659,4.186931698033411,0.268041237113402,0.190721649484536,0.0257731958762886,194.0
Bobby Miller,0.1146245059288537,8.169692478695813,0.1976284584980237,0.2450592885375494,0.067193675889328,253.0
Tyler Kinley,0.1134751773049645,5.80188679245283,0.2553191489361702,0.2092198581560283,0.0390070921985815,282.0
Jake Woodford,0.0642857142857142,8.014511873350923,0.15,0.2857142857142857,0.0357142857142857,140.0
Sonny Gray,0.0596330275229357,3.753735059760957,0.2981651376146789,0.2033639143730886,0.0321100917431192,654.0
Nestor Cortes,0.0515021459227467,3.904207273591633,0.223175965665236,0.2260371959942775,0.0343347639484978,699.0
George Soriano,0.0948275862068965,5.675074183976261,0.25,0.2068965517241379,0.0517241379310344,116.0
Jorge López,0.085972850678733,2.946273830155979,0.2217194570135746,0.2081447963800905,0.0271493212669683,221.0
John Brebbia,0.0805084745762711,6.01113172541744,0.2711864406779661,0.2330508474576271,0.0466101694915254,236.0
Julian Aguiar,0.0854700854700854,4.88245931283906,0.1282051282051282,0.2051282051282051,0.0512820512820512,117.0
Shawn Armstrong,0.0841750841750841,4.641990291262136,0.2222222222222222,0.2491582491582491,0.0202020202020202,297.0
Chris Sale,0.0535455861070911,2.345922150139018,0.3169319826338639,0.1968162083936324,0.0115774240231548,691.0
Jake Cousins,0.130718954248366,2.3955283470854405,0.3398692810457516,0.130718954248366,0.0326797385620915,153.0
Cooper Criswell,0.0705882352941176,3.9373283141723463,0.1694117647058823,0.2352941176470588,0.0235294117647058,425.0
Chad Kuhl,0.1054852320675105,5.164498852333589,0.2278481012658227,0.2320675105485232,0.0210970464135021,237.0
JoJo Romero,0.0625,2.768284347231716,0.2125,0.2041666666666666,0.0291666666666666,240.0
Matthew Boyd,0.0689655172413793,2.524544179523142,0.2758620689655172,0.193103448275862,0.0206896551724137,145.0
Brandon Bielak,0.0692307692307692,4.183053271362174,0.1,0.2846153846153846,0.0307692307692307,130.0
Blake Snell,0.1075,3.306797305572566,0.34,0.1575,0.015,400.0
Shota Imanaga,0.0416047548291233,3.01255230125523,0.2540861812778603,0.212481426448737,0.0401188707280832,673.0
Kenley Jansen,0.091324200913242,3.355704697986577,0.2785388127853881,0.1735159817351598,0.0182648401826484,219.0
Gavin Williams,0.0970873786407767,5.120182050917366,0.2459546925566343,0.2200647249190938,0.0226537216828478,309.0
Jordan Montgomery,0.0803059273422562,6.233351092168354,0.147227533460803,0.2734225621414914,0.0267686424474187,523.0
Seth Martinez,0.085972850678733,3.293528505392912,0.167420814479638,0.2081447963800905,0.0316742081447963,221.0
Bryan King,0.1,1.6304347826086956,0.3,0.1454545454545454,0.009090909090909,110.0
Kaleb Ort,0.0333333333333333,2.6293823038397326,0.2888888888888888,0.1666666666666666,0.0777777777777777,90.0
Zach Pop,0.087378640776699,5.681818181818182,0.1601941747572815,0.2184466019417475,0.0436893203883495,206.0
Tanner Houck,0.0643835616438356,3.350131714580231,0.2123287671232876,0.2178082191780821,0.0164383561643835,730.0
Chris Bassitt,0.0852503382949932,4.159414200828281,0.2246278755074424,0.2381596752368065,0.0243572395128552,739.0
Bryce Miller,0.0621387283236994,3.064050778995961,0.2398843930635838,0.1864161849710982,0.0303468208092485,692.0
Hunter Brown,0.0811965811965812,3.5677258035006405,0.2435897435897435,0.2179487179487179,0.0256410256410256,702.0
Andrés Muñoz,0.1125541125541125,2.163090128755365,0.329004329004329,0.1298701298701298,0.0259740259740259,231.0
Tarik Skubal,0.0464480874316939,2.468140022584288,0.3019125683060109,0.1912568306010929,0.0204918032786885,732.0
Michael King,0.0839363241678726,2.940286768709541,0.2793053545586107,0.1982633863965267,0.0231548480463096,691.0
Brent Honeywell,0.0738255033557047,2.776998597475456,0.1208053691275167,0.2080536912751678,0.0201342281879194,149.0
Framber Valdez,0.0760401721664275,2.848602074907684,0.236728837876614,0.1893830703012912,0.0172166427546628,697.0
Brandon Hughes,0.1111111111111111,8.834355828220858,0.2469135802469135,0.2839506172839506,0.0987654320987654,81.0
Yilber Diaz,0.09009009009009,3.858144972720187,0.1621621621621621,0.2162162162162162,0.027027027027027,111.0
Logan Webb,0.0588235294117647,3.696653977158886,0.2,0.2364705882352941,0.0129411764705882,850.0
Tanner Bibee,0.0610465116279069,3.565212172138527,0.2616279069767442,0.2122093023255813,0.0319767441860465,688.0
Carson Spiers,0.0637755102040816,5.402909258831678,0.1989795918367347,0.2729591836734694,0.0459183673469387,392.0
Luis Severino,0.0784574468085106,3.792774063044333,0.2074468085106383,0.2114361702127659,0.0292553191489361,752.0
Tommy Nance,0.0919540229885057,3.430204859456884,0.2068965517241379,0.1839080459770115,0.0229885057471264,87.0
Taijuan Walker,0.0887728459530026,6.918008784773059,0.1488250652741514,0.2689295039164491,0.06266318537859,383.0
Cole Ragans,0.0851063829787234,3.226874069170942,0.288563829787234,0.1914893617021276,0.0199468085106383,752.0
Mitchell Parker,0.0652866242038216,4.439876670092498,0.2038216560509554,0.2372611464968153,0.0286624203821656,628.0
Bowden Francis,0.0541237113402061,3.4671532846715327,0.2268041237113402,0.1829896907216494,0.0438144329896907,388.0
Cole Irvin,0.0552147239263803,5.158296943231441,0.1595092024539877,0.2699386503067484,0.0368098159509202,489.0
Enoli Paredes,0.1176470588235294,1.7450315075133298,0.1647058823529411,0.1529411764705882,0.0,85.0
Justin Steele,0.0690298507462686,3.0319271112472244,0.2462686567164179,0.1996268656716417,0.0205223880597014,536.0
Kolby Allard,0.0666666666666666,4.304347826086956,0.1714285714285714,0.2761904761904762,0.0476190476190476,105.0
Dean Kremer,0.0924528301886792,4.188397657064912,0.2264150943396226,0.2018867924528302,0.0320754716981132,530.0
Brayan Bello,0.0895953757225433,4.492607102236826,0.2153179190751445,0.2239884393063584,0.0274566473988439,692.0
Caleb Ferguson,0.1037344398340249,4.73862354268522,0.2738589211618257,0.2323651452282157,0.0248962655601659,241.0
Zack Littell,0.0482115085536547,3.5613005341950803,0.208398133748056,0.2441679626749611,0.0326594090202177,643.0
George Kirby,0.0291777188328912,3.6007785467128026,0.2294429708222811,0.2347480106100795,0.0291777188328912,754.0
Yusei Kikuchi,0.0601398601398601,4.192216981132075,0.2769230769230769,0.2279720279720279,0.0349650349650349,715.0
Justin Anderson,0.1330472103004291,4.310344827586206,0.2446351931330472,0.1931330472103004,0.0214592274678111,233.0
Mason Black,0.0657894736842105,5.885850178359096,0.1842105263157894,0.2697368421052631,0.0460526315789473,152.0
Zac Gallen,0.0853858784893267,3.739963375123257,0.238095238095238,0.2151067323481116,0.0213464696223316,609.0
Erick Fedde,0.0718309859154929,3.3824652064125904,0.2028169014084507,0.2084507042253521,0.028169014084507,710.0
Austin Gomber,0.0551523947750362,4.669917479369842,0.1640058055152394,0.2481857764876632,0.0435413642960812,689.0
José Suarez,0.1141552511415525,6.091370558375634,0.2328767123287671,0.2374429223744292,0.0228310502283105,219.0
Davis Martin,0.088235294117647,4.275534441805226,0.2107843137254902,0.230392156862745,0.0245098039215686,204.0
Emilio Pagán,0.0691823899371069,3.897158322056833,0.270440251572327,0.2327044025157232,0.0314465408805031,159.0
Jakob Junis,0.0294117647058823,2.614590058102001,0.2016806722689075,0.1890756302521008,0.0294117647058823,238.0
Cristopher Sánchez,0.0571049136786188,3.2428780542731674,0.197875166002656,0.2350597609561753,0.0132802124833997,753.0
Javier Assad,0.0963081861958266,3.3452556280244057,0.1942215088282504,0.2166934189406099,0.0272873194221508,623.0
Jacob Barnes,0.0714285714285714,4.461657629744384,0.1964285714285714,0.2357142857142857,0.0357142857142857,280.0
DJ Herz,0.0906593406593406,4.204625087596356,0.2884615384615384,0.2032967032967033,0.0302197802197802,364.0
Freddy Peralta,0.0926966292134831,3.690058827024779,0.2710674157303371,0.1980337078651685,0.0365168539325842,712.0
Chad Green,0.0663507109004739,3.271475033480008,0.2132701421800948,0.1895734597156398,0.0379146919431279,211.0
Luis L. Ortiz,0.0770676691729323,3.4292379471228616,0.1917293233082706,0.1973684210526315,0.0281954887218045,532.0
Kevin Gausman,0.0717185385656292,3.909911969818224,0.2151556156968876,0.2178619756427605,0.027063599458728,739.0
Simeon Woods Richardson,0.0833333333333333,4.004524886877828,0.2039007092198581,0.2109929078014184,0.026595744680851,564.0
Gregory Soto,0.1134453781512605,4.537521815008726,0.2647058823529412,0.2352941176470588,0.0168067226890756,238.0
Dylan Cease,0.0829986613119143,3.4190817323347447,0.2945113788487282,0.1767068273092369,0.0240963855421686,747.0
Jack Flaherty,0.0549450549450549,3.096922194609061,0.2967032967032967,0.205651491365777,0.0361067503924646,637.0
Declan Cronin,0.0756578947368421,4.423243712055507,0.2335526315789473,0.2401315789473684,0.0032894736842105,304.0
Edward Cabrera,0.1221945137157107,5.125958378970427,0.2543640897755611,0.1945137157107231,0.0349127182044887,401.0
Carlos Estévez,0.0571428571428571,2.3341978510559467,0.238095238095238,0.1714285714285714,0.0238095238095238,210.0
Cody Bradford,0.0349650349650349,3.5930616740088106,0.2307692307692307,0.2027972027972027,0.0349650349650349,286.0
Cody Poteet,0.0823529411764705,2.1438780371605524,0.1529411764705882,0.1764705882352941,0.0235294117647058,85.0
Marcus Stroman,0.0894187779433681,4.046013486711622,0.1669150521609538,0.2339791356184798,0.0283159463487332,671.0
Zach Eflin,0.028657616892911,3.530290766452898,0.200603318250377,0.2443438914027149,0.0316742081447963,663.0
Tanner Scott,0.1194539249146757,1.5012510425354462,0.2866894197952218,0.1433447098976109,0.0102389078498293,293.0
Blake Treinen,0.0555555555555555,1.972386587771203,0.3111111111111111,0.1833333333333333,0.0277777777777777,180.0
Reese Olson,0.0726872246696035,3.4906270200387843,0.2158590308370044,0.211453744493392,0.0154185022026431,454.0
Michael Petersen,0.1046511627906976,6.276824034334764,0.1627906976744186,0.2441860465116279,0.0348837209302325,86.0
Tyler Alexander,0.0547945205479452,5.350355715817172,0.1917808219178082,0.2420091324200913,0.0525114155251141,438.0
Jesus Tinoco,0.0723684210526315,3.235747303543914,0.2697368421052631,0.1578947368421052,0.0197368421052631,152.0
Walker Buehler,0.0838509316770186,5.632200256009102,0.1956521739130435,0.2608695652173913,0.0496894409937888,322.0
Joe Musgrove,0.053475935828877,3.5745807590467784,0.248663101604278,0.2192513368983957,0.03475935828877,374.0
Ryan Fernandez,0.1095406360424028,3.0215168625057225,0.2438162544169611,0.1943462897526501,0.0141342756183745,283.0
Chris Flexen,0.0888252148997134,5.15625,0.166189111747851,0.2507163323782235,0.0343839541547277,698.0
Tyler Anderson,0.0934579439252336,3.7039154044012577,0.1869158878504672,0.205607476635514,0.0320427236315086,749.0
Garrett Cleavinger,0.1167315175097276,3.514431239388794,0.2762645914396887,0.1945525291828793,0.0233463035019455,257.0
Kyle Freeland,0.0525210084033613,4.955947136563876,0.1701680672268907,0.2605042016806723,0.0399159663865546,476.0
Kyle Gibson,0.0905292479108635,4.129686650969028,0.2033426183844011,0.2172701949860724,0.0306406685236768,718.0
Jhoan Duran,0.0642201834862385,3.787299158377965,0.2844036697247706,0.2155963302752293,0.018348623853211,218.0
Nick Mears,0.0916334661354581,5.798138869005011,0.2908366533864542,0.2390438247011952,0.0239043824701195,251.0
Kenny Rosenberg,0.0842105263157894,6.860409718913767,0.1368421052631579,0.2526315789473684,0.0526315789473684,95.0
Lucas Erceg,0.0647773279352226,3.4175334323922733,0.2874493927125506,0.1983805668016194,0.0121457489878542,247.0
Aaron Civale,0.0760059612518628,4.53107855160395,0.2146050670640834,0.2309985096870342,0.0432190760059612,671.0
